time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, reflection, error, command
104230, 763.2652421976741, 1615.360884409473, -106.9999999999999, 759.2196938734006, 1615.542309867012, -106.9999999999998, 189.7367132039836, -261.8031804548862, -482.0, 2865.447076839064, -7738.973335055332, -208.3085794518658, 83, 43, 39.9547619047619
104369, 757.8300422505212, 1595.076442057402, -104.9999999999999, 754.3812559614073, 1596.136395341492, -103.9999999999998, 179.0697596345215, -279.5559724197276, -481.0, 2847.448135830552, -7730.253350962908, -205.8488918756091, 89, 49, 51.47142857142857
104490, 754.8577874147568, 1576.310363586095, -98.9999999999999, 751.4090011256429, 1577.370316870185, -98.99999999999983, 167.876037838918, -293.3790676361628, -489.0, 2830.139797066986, -7722.41616975755, -204.3609226299404, 39, -1, -9.295238095238094
104604, 752.7860085768694, 1559.437079008192, -96.99999999999989, 749.2153529443503, 1559.504486140641, -96.99999999999982, 155.165303566934, -305.6536810421732, -496.0, 2813.798791694652, -7714.868220140509, -204.7923285367852, 11, -29, -45.53333333333334
104741, 748.2869874899921, 1539.949677712487, -102.9999999999999, 744.7163318574732, 1540.017084844936, -102.9999999999998, 141.9529307820942, -320.8527772782797, -491.0, 2796.110528669226, -7705.534123979482, -207.8206102061971, 10, -30, -49.41190476190476
104870, 742.1011925553061, 1521.984824776101, -108.9999999999999, 738.5305369227873, 1522.052231908549, -108.9999999999998, 131.1325480999352, -336.8946543072197, -484.0, 2779.707448799926, -7695.945642827528, -210.3085794518658, 86, 46, 47.3047619047619
104998, 735.9208526678072, 1502.963694450197, -107.9999999999999, 732.9754745330554, 1503.882441545251, -106.9999999999998, 121.8371409239586, -352.3648097502914, -481.0, 2762.937430139845, -7687.014434950621, -208.0384232399942, 84, 44, 48.37619047619047
105119, 732.4862907510294, 1485.294405148139, -100.9999999999999, 729.5409126162776, 1486.213152243194, -100.9999999999998, 110.414975826404, -366.4700089507355, -489.0, 2746.734511375311, -7679.174446206374, -205.8206102061971, 65, 25, 27.87380952380953
105238, 729.9811749337482, 1467.469579910791, -97.99999999999988, 727.0357967989966, 1468.388327005845, -97.99999999999981, 97.48915895411884, -378.9523252095132, -496.0, 2730.490976259306, -7671.418959958878, -205.5221723249135, 19, -21, -29.74761904761905
105364, 726.6818595580766, 1448.758232603559, -99.99999999999988, 723.562833245658, 1448.692171945601, -99.9999999999998, 83.85087512632452, -391.6702306279587, -497.0, 2712.710955672211, -7662.260856010871, -207.2520161130419, 31, -9, -15.55714285714286
105491, 722.7315374325392, 1430.173428189617, -101.9999999999999, 719.8204228109383, 1431.085515132393, -101.9999999999998, 70.68557878367807, -405.7882824840152, -493.0, 2696.763817078873, -7653.912875974668, -207.631078841812, 25, -15, -24.47142857142858
105611, 718.072794620694, 1412.786763316413, -104.9999999999999, 715.1616799990931, 1413.698850259189, -104.9999999999998, 58.73696751538311, -418.6015993363831, -493.0, 2681.147257779085, -7644.961726571589, -209.8206102061971, 19, -21, -33.77142857142857
105735, 712.5104887219448, 1395.667746023101, -107.9999999999999, 708.9758850644072, 1395.733997322803, -108.9999999999998, 46.87553678487578, -433.249246417924, -489.0, 2664.974769214233, -7634.989233722772, -211.659360511224, 79, 39, 42.91428571428571
105859, 706.955426332213, 1377.497955659803, -106.9999999999999, 704.0144126597013, 1378.431286795913, -105.9999999999998, 35.5769173896993, -447.7108197681146, -488.0, 2649.262121695803, -7626.207849551607, -209.1996729349673, 85, 45, 53.97142857142857
105978, 703.8297591342082, 1359.771416105584, -99.99999999999989, 700.8887454616967, 1360.704747241693, -99.99999999999982, 22.56549908117378, -460.275800372977, -496.0, 2633.221417826839, -7618.041098705145, -206.9818599011703, 35, -5, -7.195238095238095
106109, 700.8575042984439, 1341.005337634276, -98.9999999999999, 697.7600561608921, 1340.95098042979, -98.99999999999983, 6.668170137911774, -472.6961549761968, -502.0, 2615.54168944582, -7608.690847137758, -207.8729533842718, 13, -27, -35.96190476190475
106242, 696.1335321572228, 1320.543566273786, -102.9999999999999, 693.2610350740148, 1321.463579134085, -102.9999999999998, -8.058730868573734, -485.9563162024103, -498.0, 2598.171083645644, -7598.778125304936, -209.7117036892986, 42, 2, -0.3547619047619049
106369, 691.7789380364288, 1303.078243200818, -103.9999999999999, 688.6645190576212, 1303.027960334842, -103.9999999999998, -21.79852273380955, -499.6961080676461, -495.0000000000001, 2581.655773046359, -7589.384270089472, -209.631078841812, 42, 2, -0.5000000000000004
106488, 687.4243439156348, 1285.61292012785, -103.9999999999999, 684.3099249368272, 1285.562637261874, -103.9999999999998, -34.5920930362337, -511.6263053802194, -497.0, 2566.094307558817, -7580.337680020278, -210.1713912655553, 41, 1, -1.611904761904762
106612, 682.8278278992411, 1267.177301328606, -103.9999999999999, 679.9553308160332, 1268.097314188906, -103.9999999999998, -48.73939904035494, -524.8188816572683, -497.0, 2550.532842071275, -7571.291089951083, -210.1713912655553, 55, 15, 16.86666666666667
106738, 678.8775057737037, 1248.592496914664, -101.9999999999999, 675.7970969996781, 1248.53436217423, -101.9999999999998, -62.90831669945726, -537.1357338675361, -499.0, 2533.083265810856, -7561.518051102708, -209.2520161130419, 50, 10, 11.64047619047619
