time, dt, v_left_deg_s, v_right_deg_s, v_left_mm_s, v_right_mm_s, v_real_mm_s, w_real_rad_s, reflection, error, command, drive_speed, turn_rate, distance_total, delta_d, x_odo, y_odo, theta_odo_deg, x_gyro, y_gyro, theta_gyro_deg, x_model, y_model, theta_model_deg, x_kalman, y_kalman, theta_kalman_deg, v_odo, v_gyro, v_model
29.81, 0.07900000000000063, 205, 165, 78.71434926494425, 63.35545184739416, 71.03490055616921, 0.1279908118129174, 39, -1, 3.093204430379777, 70, 3.093204430379777, 2072, 5.611757143937411, -804.6674813961143, -434.854374961189, 189.8183833333333, 890.1712588754343, -4.044757949241051, 436, -804.6674813961143, -434.8543749611898, 189.8183833333334, -550.4416703553821, -370.2329324093968, 226.7456258333334, 71.03490055616921, 71.03490055616921, 71.03490055616921
29.89, 0.08099999999999952, 188, 178, 72.18681786248546, 68.34709350809795, 70.2669556852917, 0.03199770295322928, 27, -13, -4.107574074074097, 70, -4.107574074074097, 2077, 5.691623410508593, -810.2732065771672, -433.8692748436578, 189.9668833333333, 891.354613922211, -9.612005732510392, 438, -810.273206577167, -433.8692748436586, 189.9668833333333, -555.0290335022604, -370.2306844769858, 227.1718508333334, 70.2669556852917, 70.2669556852917, 70.2669556852917
29.97, 0.07900000000000063, 166, 186, 63.73942428283291, 71.41887299160796, 67.57914863722043, -0.06399540590645874, 24, -16, -6.008687341772123, 70, -6.008687341772123, 2083, 5.338752742340456, -815.5359909499818, -432.9718443510266, 189.6772166666667, 892.4646030317289, -14.83409391834174, 438, -815.5359909499818, -432.9718443510274, 189.6772166666667, -559.3359018527252, -370.2511817861238, 226.9256341666667, 67.57914863722043, 67.57914863722043, 67.57914863722043
30.06, 0.08599999999999852, 161, 203, 61.81956210563914, 77.94640439406675, 69.88298324985294, -0.1343903524035634, 31, -9, -1.467802325581461, 70, -1.467802325581461, 2089, 6.00993655948725, -821.4716886065217, -432.0301274194543, 189.0150166666667, 893.7141391035194, -20.71269894456657, 438, -821.4716886065215, -432.0301274194551, 189.0150166666667, -564.1938144500155, -370.3325131482212, 226.3627641666667, 69.88298324985294, 69.88298324985294, 69.88298324985294
30.15, 0.09499999999999886, 185, 188, 71.03490055616921, 72.18681786248546, 71.61085920932734, -0.009599310885968748, 44, 4, 6.786171052631529, 70, 6.786171052631529, 2095, 6.803031624886015, -828.1916537871597, -430.9702655132552, 188.9627666666667, 895.1285689113362, -27.36706800616503, 438, -828.1916537871595, -430.970265513256, 188.9627666666667, -569.6936203823852, -370.4297858871917, 226.3183516666667, 71.61085920932734, 71.61085920932734, 71.61085920932734
30.23, 0.08000000000000185, 200, 147, 76.7944870877505, 56.44394800949661, 66.61921754862355, 0.1695878256521157, 45, 5, 6.662250000000084, 70, 6.662250000000084, 2101, 5.329537403890007, -833.4443675393553, -430.068618588479, 189.7401000000001, 896.1454925891942, -32.59868679702456, 439, -833.4443675393551, -430.0686185884798, 189.7401000000001, -574.0058885200729, -370.4481288197609, 227.1290850000001, 66.61921754862355, 66.61921754862355, 66.61921754862355
30.3, 0.07199999999999918, 197, 184, 75.64256978143423, 70.65092812073046, 73.14674895108235, 0.04159701383919814, 33, -7, -1.018133333333372, 70, -1.018133333333372, 2107, 5.266565924477868, -838.6323257388215, -429.1620832292891, 189.9117000000001, 897.0600221645425, -37.78524175120027, 440, -838.6323257388213, -429.1620832292899, 189.9117000000001, -578.2784735533169, -370.4555570075757, 227.4249450000001, 73.14674895108235, 73.14674895108235, 73.14674895108235
30.44, 0.1370000000000005, 169, 182, 64.89134158914917, 69.88298324985294, 67.38716241950105, -0.04159701383919814, 27, -13, -1.697997810218958, 70, -1.697997810218958, 2116, 9.232041251471674, -847.7354796665672, -427.624821300846, 189.5851833333334, 898.5042315989459, -46.90362125517218, 441, -847.7354796665672, -427.6248213008468, 189.5851833333334, -585.7995229767403, -370.516641293995, 227.2974058333334, 67.38716241950105, 67.38716241950105, 67.38716241950105
30.54, 0.1000000000000014, 184, 182, 70.65092812073046, 69.88298324985294, 70.2669556852917, 0.00639954059064595, 32, -8, -0.3449999999999365, 70, -0.3449999999999365, 2123, 7.026695568529269, -854.6633262632531, -426.450346036918, 189.6218500000001, 899.6034489612093, -53.84380654112007, 441, -854.6633262632529, -426.4503460369188, 189.6218500000001, -591.5233099795837, -370.5593651125483, 227.3285725, 70.2669556852917, 70.2669556852917, 70.2669556852917
30.63, 0.09099999999999753, 172, 183, 66.04325889546543, 70.26695568529171, 68.15510729037857, -0.03519747324855231, 32, -8, -0.8051000000001078, 70, -0.8051000000001078, 2129, 6.202114763424281, -860.7814809446065, -425.4332861400989, 189.4383333333334, 900.5736734663436, -59.96956297998721, 441, -860.7814809446065, -425.4332861400997, 189.4383333333334, -596.578207782964, -370.6137276660822, 227.1725833333334, 68.15510729037857, 68.15510729037857, 68.15510729037857
30.72, 0.08699999999999974, 177, 188, 67.96312107265918, 72.18681786248546, 70.07496946757232, -0.03519747324855231, 32, -8, -1.015500000000011, 70, -1.015500000000011, 2135, 6.096522343678774, -866.7985058415027, -424.4519625048463, 189.2628833333334, 901.4221453859857, -66.00675438730182, 442, -866.7985058415027, -424.4519625048471, 189.2628833333334, -601.5654081573796, -370.6851812872147, 227.1734508333334, 70.07496946757232, 70.07496946757232, 70.07496946757232
30.8, 0.08300000000000196, 185, 179, 71.03490055616921, 68.73106594353669, 69.88298324985294, 0.01919862177193761, 34, -6, -0.00235180722883043, 70, -0.00235180722883043, 2141, 5.800287609737931, -872.5216638370018, -423.5092011807372, 189.3541833333334, 902.2293893990932, -71.75059399674265, 442, -872.5216638370016, -423.509201180738, 189.3541833333334, -606.3090058515875, -370.745410103138, 227.2510558333334, 69.88298324985294, 69.88298324985294, 69.88298324985294
30.89, 0.08799999999999741, 185, 178, 71.03490055616921, 68.34709350809795, 69.69099703213357, 0.02239839206726053, 34, -6, 0.1751999999998901, 70, 0.1751999999998901, 2147, 6.132807738827574, -878.5709437378838, -422.5004675973723, 189.4671166666667, 902.9767906514541, -77.83768871667208, 443, -878.5709437378838, -422.5004675973731, 189.4671166666668, -611.3387835794831, -370.8010507652673, 227.4970491666667, 69.69099703213357, 69.69099703213357, 69.69099703213357
30.97, 0.08200000000000074, 191, 192, 73.33873516880172, 73.72270760424048, 73.53072138652109, -0.003199770295322916, 30, -10, -2.547590243902407, 70, -2.547590243902407, 2153, 6.029519153694784, -884.51860183762, -421.5102835975948, 189.4520833333334, 903.6070470228326, -83.83417753356392, 444, -884.5186018376198, -421.5102835975956, 189.4520833333334, -616.2997545085521, -370.8588676879902, 227.6342708333334, 73.53072138652109, 73.53072138652109, 73.53072138652109
31.05, 0.07900000000000063, 171, 188, 65.65928646002667, 72.18681786248546, 68.92305216125607, -0.05439609502048993, 30, -10, -2.689899999999974, 70, -2.689899999999974, 2158, 5.444921120739273, -889.8933917712442, -420.6391927983757, 189.2058666666667, 904.1761962601971, -89.24927080669228, 444, -889.8933917712441, -420.6391927983764, 189.2058666666668, -620.782953566528, -370.9307044996232, 227.4249866666667, 68.92305216125607, 68.92305216125607, 68.92305216125607
31.13, 0.08099999999999952, 169, 183, 64.89134158914917, 70.26695568529171, 67.57914863722045, -0.04479678413452118, 37, -3, 1.62495987654319, 70, 1.62495987654319, 2164, 5.473911039614823, -895.2999402681023, -419.7830763222239, 188.9979666666667, 904.7483757692319, -94.69319518888733, 444, -895.2999402681023, -419.7830763222247, 188.9979666666668, -625.2926928625023, -371.0195941522234, 227.2482716666667, 67.57914863722045, 67.57914863722045, 67.57914863722045
31.21, 0.08000000000000185, 187, 172, 71.80284542704671, 66.04325889546543, 68.92305216125607, 0.04799655442984397, 42, 2, 4.579250000000076, 70, 4.579250000000076, 2169, 5.513844172900613, -900.7425791061781, -418.8998096346945, 189.2179666666667, 905.3247294273225, -100.1768339464858, 444, -900.7425791061781, -418.8998096346953, 189.2179666666668, -629.8324828261531, -371.0913632814632, 227.4352716666667, 68.92305216125607, 68.92305216125607, 68.92305216125607
31.29, 0.08099999999999952, 200, 171, 76.7944870877505, 65.65928646002667, 71.22688677388858, 0.09279333856436528, 31, -9, -2.11450123456792, 70, -2.11450123456792, 2176, 5.769377828684941, -906.4303443278579, -417.9328311896544, 189.6486166666667, 905.8275638371734, -105.9242575507098, 445, -906.4303443278577, -417.9328311896552, 189.6486166666668, -634.5916581031031, -371.1315451438127, 227.9513241666667, 71.22688677388858, 71.22688677388858, 71.22688677388858
31.38, 0.08899999999999864, 173, 191, 66.42723133090418, 73.33873516880172, 69.88298324985294, -0.05759586531581284, 16, -24, -10.9064696629214, 70, -10.9064696629214, 2181, 6.219585509236817, -912.5672116488344, -416.9218398981796, 189.3549166666667, 906.2614201904479, -112.1286924622414, 446, -912.5672116488344, -416.9218398981803, 189.3549166666668, -639.742916872942, -371.2028677827888, 227.8516791666667, 69.88298324985294, 69.88298324985294, 69.88298324985294
31.47, 0.08999999999999986, 155, 213, 59.51572749300663, 81.78612874845427, 70.65092812073046, -0.1855866771287304, 13, -27, -12.72016666666667, 70, -12.72016666666667, 2188, 6.358583530865731, -918.857616183667, -415.993187483573, 188.3979166666667, 906.7049725555686, -118.4717868032072, 446, -918.857616183667, -415.9931874835737, 188.3979166666668, -645.0232278727817, -371.3649773815181, 227.0382291666667, 70.65092812073046, 70.65092812073046, 70.65092812073046
31.55, 0.07499999999999929, 143, 210, 54.9080582677416, 80.63421144213802, 67.77113485493981, -0.2143846097866367, 19, -21, -9.725000000000025, 70, -9.725000000000025, 2193, 5.082835114120437, -923.8972367037736, -415.3317966682025, 187.4766666666667, 907.1479708252037, -123.5352801951685, 445, -923.8972367037736, -415.3317966682032, 187.4766666666668, -649.240455574427, -371.5623191972473, 226.1051666666667, 67.77113485493981, 67.77113485493981, 67.77113485493981
